code,description
E01,00-E0159 
A467,4 
Q41,00-Q4304 <NJ 
P901,0-P9040 
P901,"0-P9040, P9050-P9099 "
A011,0 
S821,0 
J057,"4, J0575 "
L081,0-L0830 
P32,suspension A9564 
J07,40 
A467,4 
V251,0 
Q04,77-Q0509 
A477,4 
K07,44-K07 46 
H004,7-H0050 
E07,40 
C17,49 
B41,00-B4162 
Q51,05 
Q511,0 
F18,A9586 
A551,0-A5514 
E21,03 
E097,4 
S981,0 
G031,0-G0315 
A431,"0-A4360, A5102-A5200 "
A431,"0-A4316, A4354 "
A431,O 
L411,0 
V241,0-V2499 
V21,00-V2199 
J201,0 
G997,4 
G97,"41, G9758, G9760, G9761, G9768, G9805, "
J767,4 
J227,4 
E057,4 
J271,O 
E07,45 
J241,0 
E061,0 
P901,0-P9615 
E07,40 
L551,0-L5595 
L561,"0-L5699, L571 0-L5966, L5991 ® "
A701,O 
C977,"4, C9766 "
E071,O 
Q41,00-Q4304 IN) 
L84,70-L8485 
P32,A9563 
A431,0-A4316 
A431,0-A4360 
J022,04 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
P98,Dialysis services 
A491,"B Venous pressure clamp, for hemodialysis, "
A431,0-A4360) 
A91,S0-A9999) 
A91,SO-A9999) 
A91,S0-A9999) 
F18,Coding Clinic: 2022. 04 
P88,Endoscopy - upper 
P60,Minor procedures - other 
P68,Minor procedures -
P88,Endoscopy - upper 
E01,00-E8002) 
E01,OO-E8002) 
E01,OO-E8002) 
D18,Hospital beds 
D18,Hospital beds 
E01,00-E8002) 
S00,"IPPB machine, all types, with built-in "
E01,OO-E8002) 
E01,00-E8002) 
E01,OO-E8002) 
D10,Wheelchairs 
E01,OO-E8002) 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
E01,00-E8002) 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
E01,00-E8002) 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
E01,OO-E8002) 
E01,OO-E8002) 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
E01,OO-E8002) 
E01,OO-E8002) 
E01,00-E8002) 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
E01,00-E8002) 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
E01,OO-E8002) 
E01,OO-E8002) 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
D10,Wheelchairs 
B000,E8002) 
D10,Wheelchairs 
M50,Specialist - other 
M50,Specialist - other 
M50,Specialist - other 
M50,Specialist - other 
M50,Specialist - other 
M50,Specialist - other 
G601,"0 Radiation treatment delivery, 2 separate "
